id,date,owner,lane,what,ruler,delta,n_seeds,sd,verdict,artifacts,notes
t100,2026-08-19,max,rulers,E_mix(w): fit w* to v6 LB 0.35502 + lexical anchor,E_mix,,,,LANDED,outputs/out-t100/emix_dump.npz (local; package into ecup26-rulers),"w*=0.784 band [0.728,0.884] interior+monotone; E_full implicit share 0.630 (easier than the board); ladder at w*: v7 +0.0086 / v8s +0.0159 / v10 -0.0331 vs v6; lexical cross-family check MISS (0.175 vs LB 0.2586) — cross-family questions are LB-only *** CIRCULARITY BOUND ADDED 2026-08-24 by hardpairw2 + tools/hw_ruler_split.py, and it is a REAL limit on this row's claim. E_mix's level is board-anchored and its deltas were measured to transfer at ~0.65 -- but that was established on training-MIX interventions. On an intervention that reweights along NAME SIMILARITY, E_mix reads +0.02832 where E_real reads -0.00400 and human-val reads -0.00135, a 0.032 spread on the same four checkpoints. The 2x2 isolates the cause: mined-vs-easy negative pool swings the effect 0.03400 while prevalence 0.045-vs-0.25 swings it 0.00431, so it is the POOL, not the operating point. The mined pool is constructed by name/embedding similarity and is 21.95% identical-name against the board's 0.91%, so any intervention that moves scores along name similarity scores its own construction axis. RULE: E_mix stays the board-anchored ruler for source-mixture questions; it is INADMISSIBLE for interventions that reweight, filter or mine along name/lexical similarity, where E_real and human-val match the board's population (0.90% and 0.91% identical-name) and E_mix does not. *** AND THE CIRCULARITY BOUND ABOVE IS ITSELF RETRACTED, same day: it assumed the mined pool is unrepresentative of the board, but ruler E was validated to +-0.0087 against real LB points BECAUSE it adds near-duplicate negatives, and matches.parquet rulers read 0.21-0.34 high without them. E_mix is not disqualified on name-similarity interventions; it is the ruler that contains the board's negative regime. The 2x2 finding stands as a fact (pool outswings prevalence 8:1); only my inference about which pool is board-like was wrong. *** AND THE BOUND IS BACK, on better evidence (emix_epoch_audit): E_mix INVERTS the board's known ep1>ep2 ruling in both t120 families while E_real reproduces it. E_mix is admissible for LEVEL and inadmissible for DELTAS on the training-progression axis."
t97a,2026-08-19,max,rulers,shipped-config GBDT scored + dumped on frozen 415k ruler universe,E_real,,,,LANDED,outputs/out-t97a/ruler_dump.npz (local; package into ecup26-rulers),A 0.45524 / A+B 0.46826 on E_real; dump verified row-aligned with t97b + t100 (byte-identical pids) — all blend/E_mix re-pricing is now a local computation
t97b,2026-08-19,max,blend,crippled CE scored on the same 415k; blend weight curve,E_real,,,,LANDED,outputs/out-t97b/ce_scores_notebooks__ce-model.npz (local),"GBDT 0.46827 / CE 0.44112 / blend(w=0.5) 0.52410 on E_real; pre-registered rule held: w stays 0.5 (argmax 0.6 at +0.001 < 0.004 bar); ce-model==ce-model-llm on all 415k pairs — Stage B never ran, t98 fills an empty slot"
v10-lb,2026-08-19,max,training-mix,CRITICAL EXPERIMENT: v10 (human-only GBDT) LB submission,LB-public,-0.02156,1,,ANCHOR,submission/dist/submission_v10.zip,"v10 = 0.33346 vs v6 0.35502; pre-registered schools: E_real 0.368 / E_mix 0.322 -> E_mix wins (right sign, miss 0.0115 vs 0.0345 wrong-sign); E_mix deltas transfer at ~0.65 [0.58,0.68 over the w-band]; overturns t96 — pooling stays; E_real sign-inverts on the training-mix axis *** CORROBORATED EXTERNALLY AND I VIOLATED IT THE SAME DAY. Alex's M50 anchor is an independent replication of this row's core claim, on a different backbone, a different track and a different LB account: his HUMAN-ONLY ruler ranks the arms H > M50 > L while the BOARD ranks them M50 > L > H -- i.e. the human ruler's FIRST choice (H, human-AP 0.765218) is the board's LAST (0.4280959), and its last choice is the board's second. A human-label ruler does not merely weaken on the training-mix axis, it points the wrong way. His balanced composite (human AP + LLM-proxy AP)/2 reproduces the board order exactly (0.7070 / 0.6736 / 0.6634 vs 0.4700 / 0.4421 / 0.4281). MY ERROR: hardpairw is registered in the `training-mix` lane and I judged it on E_real paired half-splits plus human-val -- both human-label rulers, both inadmissible here by this very row -- and called it REJECT. emix_vs_prevalence had already closed the escape hatch: E_real carries the WRONG SIGN at every prevalence from 0.26 down to 0.02 on both views, so the inversion is composition, not operating point, and cannot be fixed by re-reading at board prevalence. FIXED BEFORE THE DATA: tools/read_t133.py now computes E_mix(w*=0.784) as the PRIMARY ruler for hardpairw2 -- 268,892 rows at 3.43%% prevalence, near the board's operating point rather than E_real's 26%% -- with E_real and the container shape demoted and explicitly labelled inadmissible on this axis. No t133 arm has been scored yet, so the pre-registration still holds. E_mix's own defect stays on the record: minedruler puts ~22%% false labels in the mined pool, so it is noisy; it is simply the only ruler here with a board anchor, and v10-lb measured its delta transfer at ~0.65."
labelgraph,2026-08-20,max,diagnosis,"transitivity audit of BOTH label graphs (365k human + 11.19M llm pairs), no model in the loop",organiser-labels,,,,LANDED,team/experiments/labelgraph_the-labels-contradict-themselves.md; kaggle:ecup26-labelflags,"matching is an equivalence relation, so a NON-match inside a MATCH-connected component is a proof one label is wrong; llm pool: 138276 proven contradictions vs 7.07 expected under random negative placement = ~19600x; violation rate monotone across all 8 component-size buckets 0.00%->43.55%; BOTH graphs are FORESTS (edges/(n-1)=1.00, density 0.0037 in the giants) so big components are CHAINS not families - 216 components >257 nodes hold 114563 items and 68348 of their own internal NON-match labels; human pool reads 0 violations but the test has NO POWER there (forest of 92293 trees, mean 2.02 nodes, max 16) - that zero is not evidence of clean human labels; threshold-free flag = component contradicts itself: 20.90% of llm positives, 9.26% of rows; margin rule overlaps it on only 13.5% -> two independent defects"
t103,2026-08-20,max,training-mix,label cleaning by graph contradiction: 3 draw-pool arms (v8 / clean-graph / clean-union) at shipped depth,E_mix,,,,RUNNING,kaggle:ecup26-t103,"pre-registered: E_mix(w*=0.784) DECIDES (E_real sign-inverts on the training-mix axis, v10 LB), ACCEPT iff E_mix delta >+0.004 AND positive 3/3; expected LB = E_mix delta x 0.65; size-controlled - all arms draw SUB=300k from eligible pools trimmed to the same NPOOL so neither training-set size nor member overlap moves; SCOPE: cleaning applied to the GBDT training draws only, the NB count tables and the 6M extra name pool still see the full llm pool (a stronger untested arm); prediction on record: clean-graph > v8; clean-union >= clean-graph iff melted chains dominate, < if contested votes carry real signal"
t101,2026-08-20,max,gbdt-features,13 per-axis conflict/agreement columns at shipped depth (v8 vs +axis),E_real+E_mix,+0.00753,3,0.00110,REVISIT,kaggle:ecup26-t101,"CONTESTED by the pre-registered rule: E_real +0.00753 at 3/3 (sd 0.0011, clears the 0.004 bar cleanly) but E_mix078 -0.00189 at 2/3 so the sign guard fails; NOTE the guard was underpowered by construction - E_mix's own scatter is sd 0.00648, 3.4x the effect it was asked to sign, so it could not have discriminated (protocol lesson, COOKBOOK); ALSO the prediction on record FAILED - gains did NOT land in the inverted cells (Odezhda -0.0007, Yuvelirnye -0.0030, Galantereya +0.0012) but in Avtotovary +0.0221, Bytovaya khimiya +0.0213, Mebel +0.0170, Produkty +0.0133, so the axis-sign mechanism is NOT what fired; before re-run: power the E_mix guard (more stacks) or drop it and take the question to the LB"
t98b,2026-08-20,max,ce-retrain,"Stage B (human fine-tune) resumed from t98's Stage-A ckpt, e5-base",E_real-leakfree,+0.15522,1,,ACCEPT-RULE,kaggle:ecup26-t98b; outputs/out-t98b/ce_scores_ep0.npz,"internal val MACRO .6620 (resume) -> .7569 (ep0) -> .7681 (ep1); priced on the LEAK-FREE E_real (see COOKBOOK 'the ruler cannot measure a human-fine-tuned CE'): alone .59242 vs crippled .43720 (+0.15522) and vs t98's Stage-A .48162 (+0.11080), blended(w=0.5) .57464 (+0.06396); gate 4/4 on both rulers; paired same-rows comparison so n_seeds=1 is the design; Stage B is worth MORE than the fp16 fix was"
t102,2026-08-20,max,ce-large,multilingual-e5-large full curriculum on the RTX PRO 6000 box,E_real-leakfree,+0.18916,1,,ACCEPT-RULE,box:/marimo/ce_scores_t102.npz -> outputs/out-t102/,"full curriculum finished in 183 min on the Blackwell; internal val .6719 (Stage A) -> .7676 -> .7770; leak-free E_real alone .62636 (+0.18916 vs crippled), blend(w=0.5) .59280 (+0.08212); PRE-REGISTERED SIZE GATE MET: beats t98b e5-base ep0 by +0.03394 CE-alone (bar was 0.004); COST: 4x slower than e5-base (415k pairs in 16 min vs 4 min on the same GPU) so the grader time budget, not the score, is what decides whether it can ship"
blendw,2026-08-20,max,blend,blend weight curve re-measured against the strong CEs on the leak-free E_real,E_real-leakfree,+0.04059,1,,ACCEPT-RULE,tools/price_ce.py,"w=0.5 was fitted against the CRIPPLED CE (t97b) and is now actively costly: with e5-base+human the argmax moves to w=0.1 (+0.02760 over w=0.5) and with e5-large to w=0.1 (+0.04059); curves smooth and unimodal, w=0.0 close behind (so the GBDT still adds +0.0066 at its best share, it is not dead weight); pre-registered rule 'move w only if argmax beats w=0.5 by >0.004' passes for both; SCOPE: measured on 30,685 leak-free rows whose composition differs from full E_real, and blend composition has no LB transfer coefficient - the LEVEL is unknown, only the ordering is measured"
v11-lb,2026-08-20,max,ce-retrain,v11 = v8 GBDT + t98b e5-base ep1 CE at rank blend w=0.1,LB-public,+0.03434,1,,ANCHOR,submission/dist/submission_v11.zip,"0.47542 vs v9 0.44108 = NEW CHAMPION; PRE-REGISTERED PREDICTION 0.478 (band 0.46-0.55) via the single CE-solo->v9 transfer of 0.355 -> delivered +0.03434 against +0.0371 predicted, miss 0.0026; this closes the loop: leak-free E_real is now LINEAR against the LB WITHIN the CE/blend family, LB = 0.3385*ruler + 0.2674, R2 0.99952 over three anchors with residuals under 0.0008 (tools/ce_family_calib.py); decomposition of the +0.03434: completed Stage B curriculum plus the blend weight move 0.5->0.1 which is worth +0.0108 LB on its own; SCOPE: the line is licensed for GBDT+CE blends only - cross-family it is still anti-correlated (COOKBOOK)"
t104,2026-08-20,max,ce-retrain,"more human epochs (ep2/ep3/ep4) resumed from t98b's ep1 checkpoint, e5-base",E_real-leakfree,+0.01115,5,0.00217,ACCEPT,"box:/marimo/ckpt-t104, outputs/out-t104/, tools/bootstrap_verdicts.py","ep1 0.61529 -> ep2 0.62297 -> ep3 0.62613 at the shipped w=0.1 on leak-free E_real, and ep3 passes the standard two-ruler gate 4/4 (alone/E_real +0.01223, alone/E_mix +0.00566, blend/E_real +0.00674, blend/E_mix +0.00589). Replicated by bootstrapping the 30,685 leak-free rows 5x: +0.01115 sd 0.00217, positive 5/5. n_seeds here is EVAL resamples, not training seeds - inference is deterministic given a checkpoint, so training-seed scatter is not the risk this arm carries. On the calibrated CE-family line this is LB 0.4793 = +0.0039 over v11, at IDENTICAL inference cost (same backbone, same max_len, same archive size), so it carries no timeout risk. This is the v12 candidate. ep4 running"
t105,2026-08-20,max,ce-retrain,"cleaned Stage A: llm distillation pool with vs without the self-contradicting rows, e5-base, 2 arms",E_real-leakfree,-0.02065,5,0.00397,REJECT,"outputs/out-t105/, box/train_ce.py --clean, tools/bootstrap_verdicts.py","scope: dropping llm rows flagged by the CONTRADICTION rule (in a MATCH component that also contains an internal NON-match, 9.26% of rows / 20.90% of positives) from Stage A of the cross-encoder. This is Oleg's cleaning lead moved off the GBDT, where the whole GBDT half is only worth +0.0027, and onto the CE where the value is. Both arms drew the SAME 2,200,000 rows with the SAME class counts (pos 1,200,000 / mid 500,000 / zero 500,000) and the identical Stage B (292,523 train / 73,131 val), so only WHICH rows differ. At matched epoch index the cleaned arm is WORSE on every read: leak-free E_real alone -0.02401, blended -0.02065 sd 0.00397 negative 5/5, against a pre-registered bar of >+0.006. The trainer's own held-out human val agrees independently and at both checkpoints (Stage A 0.6153 vs 0.6585, human ep0 0.7348 vs 0.7503). Likely mechanism: the contradiction flag removes exactly the AMBIGUOUS pairs, so the cleaned pool is an easier training distribution - consistent with the earlier finding that the human pool is hard rather than sloppy. ep1 scoring. UNTESTED: cleaning Stage B rather than Stage A; and see t105margin - the OTHER definition of 'the worst 10%' cannot be tested with this sampler at all"
t106,2026-08-20,max,blend,"CE ensembling: rank-mean of the checkpoints we already have, each at its best GBDT share",E_real-leakfree,-0.00034,3,0.00411,REJECT,tools/blend_search.py,"scope: equal-weight rank-mean of the crippled/stageA/ep0/ep1/e5-large checkpoints, priced on the leak-free E_real over 3 bootstrap resamples. The honest read is a NULL, not a kill: -0.00034 with sd 0.00411, scatter 12x the effect, signs 1 up 2 down. Point estimates on the full slice put every ensemble at or just below its best single member (ep1+large 0.63239 vs large alone 0.63338), which is what correlated members predict - shared backbone family, text template and split. Recorded as REJECT because it costs the sum of its members inference time for no measurable gain, NOT because ensembling is refuted. UNTESTED and still open: a different backbone, a different text template, or a learned combiner"
t107,2026-08-20,max,blend,"per-category blend weights, fitted and evaluated on disjoint halves of the leak-free rows",E_real-leakfree,-0.00447,3,0.00182,REJECT,tools/blend_search.py,"scope: 20 per-category GBDT shares chosen by per-category AP on a fitted half and scored out-of-sample on the held-out half, 3 independent splits. NEGATIVE at 3/3: -0.0034 -0.0034 -0.0066, mean -0.00447 sd 0.00182, with 18/20 categories moving their weight - overfitting 20 free parameters on 30,685 rows. This closes the lane the battle map had already de-priced at +0.0003 IN-SAMPLE; the holdout says it is not merely small but harmful. UNTESTED: shrinkage toward the global w, or 2-3 weight classes instead of 20"
slicecalib,2026-08-20,max,rulers,fit the CE-family LB line on every slice: which one is the board actually made of,LB-public,,,,LANDED,tools/slice_calib.py,"THE CEILING RESULT: on leak-free E_real the line is LB=0.339*x+0.267, so a PERFECT score there maps to LB 0.606 - the slice we have been optimising cannot express more than ~0.61 of board no matter what we do to it. On E_mined (LSH near-duplicate negatives, prevalence 0.0243, the regime ONBOARD says the test is built from) the slope is 1.53 and v11 scores 0.0844 against v9's 0.0837: three board points of improvement moved the hard slice by 0.0007. Every gain so far - fp16 fix, Stage B, weight 0.5->0.1 - landed on EASY negatives. Worst categories flip completely between slices: E_real says Odezhda .254 / Yuvelirnye .304 / Obuv .313, E_mined says Muzykalnye .023 / Produkty .044 / Yuvelirnye .048. Consequence: the roadmap to >0.5 runs through the mined regime, not through more of what we have been doing"
t109probe,2026-08-20,max,ce-input,input-length probe: 61.7% of pairs are TRUNCATED at the shipped max_len=256,E_real-leakfree,-0.06725,5,0.00643,REJECT,"outputs/out-t109/len{256,384,512}.npz, box/score_len.py","scope: RUNNING the max_len-256-trained ep1 checkpoint at longer lengths, attr_cap moved with it (1500/2500/4000). len384 -0.06725 sd 0.00643 and len512 -0.09023 sd 0.00465, both negative 5/5 - the model is hard length-specialised, not merely indifferent. The pre-registered fallback was retraining AT 512, and that is now ALSO de-priced, by the mechanism check rather than by the arm: the deciding attribute sits at median character 165 (Odezhda) / 301 (Obuv) of the blob with 0.0% beyond the 1500-char cap, so the deciding evidence was never being truncated. The '61.7% of pairs are truncated' statistic was true and irrelevant - what gets cut is the tail of the attribute blob, not the field that decides. tools/probe_numeric.py agrees independently: diff features computed on UNtruncated text add nothing. UNTESTED: training from scratch at 512, which would cost ~2x inference against a 13-min private budget"
t108,2026-08-20,max,ce-hardneg,"add item-disjoint LSH-mined near-duplicate negatives to Stage B, resumed from t98b ep1",E_real-leakfree,-0.00871,5,0.00370,REJECT,"outputs/out-t108/t108-ep2.npz, tools/mined_sanity.py, tools/mined_eyeball.py","scope: training on OUR LSH-mined assumed negatives and reading the result on a mined ruler. THE GATE I PRE-REGISTERED WOULD HAVE FIRED ON THIS: E_mix +0.25138 and E_mined far past the +0.01 bar, five times larger than any real delta ever measured on this project - while leak-free E_real went -0.00871 sd 0.00370, negative 5/5 (LB -0.003). The model did not learn the hard regime, it memorised our own mining rule; see COOKBOOK 'a ruler built from assumed labels goes circular the moment you train on it'. The risk was written on this row BEFORE the run ('mined negatives are ASSUMED negatives, so some are true matches') and it landed. UNTESTED and still open: hard negatives from a SOURCE OTHER than our own LSH pass, or mined pairs filtered to drop the 51,012 byte-identical-name pairs first"
minedruler,2026-08-20,max,rulers,"audit E_mined: are its negatives hard, or are they wrong",,,,,LANDED,"tools/mined_sanity.py, tools/mined_eyeball.py, tools/percat_diag.py","E_MINED IS NOT A PROXY FOR THE BOARD AND MUST NOT BE OPTIMISED. In the mined slice the NEGATIVES are twice as lexically similar as the POSITIVES (tok_jac 0.486 vs 0.226, P(pos>neg)=0.209); on the easy slice the same positives sit at 0.227 against negatives at 0.216, i.e. parity. Overlap is anti-correlated with the label BY CONSTRUCTION, which is why every lexical, numeric and rare-token feature scores LIFT BELOW 1.0 in all 20 mined categories. Reading the pairs settles it: 51,012 of 232,350 mined negatives (22%) have BYTE-IDENTICAL names - a Grass fabric conditioner listing against itself - stamped 0 for the sole reason that it was absent from the human positive list. build_universe_view.py always said ASSUMED; the error was treating the resulting LEVELS as ground truth. Consequence: the slicecalib claim that 'v11 scores 0.0844 on the hard slice, so all our gains landed on easy negatives' is WITHDRAWN - that number measures our mining's false-negative rate, and the five 'at-chance' categories (Muzykalnye, Bytovaya tekhnika, Bytovaya khimiya, Produkty, Detskie) are exactly where identical listings from many sellers are most common *** MECHANISM SUPPLIED 2026-08-24 by hardpairw2: the fake gain on this pool is not only label noise. The mined pool is CONSTRUCTED by name/embedding similarity, so any intervention that moves scores along that axis scores the ruler's own construction. Measured: --hard-weight reads +0.02886 on mined negatives and -0.00328 on easy ones, and the pool axis outswings prevalence 8:1 (tools/hw_ruler_split.py)."
timelimit,2026-08-20,max,infra,resolve the competition wall-clock limit that has blocked v12/e5-large for two days,,,,,LANDED,RULES.md:90,"IT WAS IN RULES.md THE WHOLE TIME. 'Time Limits: Check 1 minute / Public 6 minutes / Private 13 minutes' against ~115k public and ~275k private pairs, on 20 CPU / 200GB / H100 80GB, 5GB archive. Measured on the box: e5-base scores the 415,177-pair universe at max_len 256 in 8.2 min (contended) and e5-large in 15.9 min (clean) -> 1.94x, NOT the 3.5x the layer-and-width FLOP ratio suggests. Rescaled to 275k private pairs that is ~5.4 min for e5-base and ~10.5 min for e5-large against a 13-min budget that must ALSO cover model load, tokenisation, the GBDT feature path and I/O. So e5-large is not flatly impossible as first stated, it is tight - and the GBDT feature path is exactly what produced 7 historical timeouts (HANDOFF workers=-1). Needs a clean single-job throughput benchmark plus an H100-vs-RTX-6000 margin before anyone spends a slot; also note the t102 e5-large checkpoint did NOT survive the box refresh, so v12 costs a 3h retrain first"
t111,2026-08-20,max,blend,"cascade: cheap CE everywhere, e5-large only on the band where the cheap model is undecided",E_real-leakfree,+0.00049,5,0.00217,REJECT,tools/cascade.py,"scope: rank-band cascade keyed on the cheap CE's own score, which is all the grader can condition on at inference time. The affordable band (20% at 1.70x cost, ~9.2 min of a 13-min budget) buys +0.00049 ruler = +0.0002 LB; the gain does not appear until 80% of pairs go to the large model, which costs 3.80x and times out. The reason is structural: macro PR-AUC is set by the ordering at the TOP of each category, and a confidence-banded cascade by construction leaves the top alone. Useful by-product: the line predicted v11 at 0.4757 against an actual 0.47542. UNTESTED: banding on DISAGREEMENT between two cheap models rather than on one model's confidence"
t112,2026-08-20,max,features,"numeric-mismatch and rare-token-diff features, globally and inside the at-chance categories",E_real-leakfree,-0.00121,5,0.00217,REJECT,"tools/probe_numeric.py, tools/percat_numeric.py, outputs/numeric_feats.npz","scope: five model-free overlap features (numeric Jaccard, numeric symmetric difference, name-number conflict, rare-token symmetric difference, token Jaccard) blended into v11 by rank, globally and restricted to the five at-chance categories with a single fitted weight on a held-out half. Every arm is negative or zero and the fitted weight goes to 0.00 out of sample. Computed on UNTRUNCATED text, so this is independent evidence that the CE already carries the lexical and numeric signal and that truncation is not our bottleneck. The motivating example is real - two pairs of glasses differing only by -2.00 vs -3.00 dioptres at character 40 of a 467-char blob - but the model already sees it. UNTESTED: numeric comparison as a CE INPUT (an explicit diff string prepended to the pair) rather than as a blended score"
o-track,2026-08-20,oleg,second-pipeline,"a second independent pipeline joins the repo: 17 submissions, ladder 0.2659 -> 0.4579",LB-public,,,,LANDED,oleg/,"oleg has been running a separate solution on a SEPARATE LB account, so the two tracks never competed for submission slots and both ladders are real board numbers on the same test set - directly comparable in LEVEL to max's. Champion there is v12 = 0.457877 (GBDT stack over a bge-reranker CE) against max's v11 = 0.47542, i.e. max's track is ahead by 0.0175. Full ladder, per-category table and the 81-entry log are in oleg/docs/RESULTS.md and oleg/EXPERIMENTS.md. Its local ruler is DIFFERENT and its numbers are NOT comparable to E_real: E_oleg-val = macro PR-AUC over the 20 categories on a stratified 20 percent of matches.parquet (73131 pairs, seed 42, stratify category x target), prevalence about 26 percent against the board's roughly 4.5 percent. That is also why nothing was appended to diag/percat.csv - the battle map groups by arm and ignores the ruler column, so mixing the two would make the gap column meaningless"
o-bge,2026-08-19,oleg,ce-backbone,"swap the CE backbone e5-base -> BAAI/bge-reranker-v2-m3, same template, max_len and recipe",LB-public,+0.0220,1,,ANCHOR,oleg/EXPERIMENTS.md E-70/E-72,"THE HIGHEST-VALUE ROW FOR THE CE LANES. Scope: oleg's pipeline, container v10 -> v11, changing only the CE backbone at identical text template, max_len 192 and training recipe. LB 0.4322 -> 0.4542 while the local ruler moved just +0.007 (0.7722 -> 0.7795) - the only change on either track that transferred at a coefficient ABOVE 1, and it produced the smallest val-LB gap ever recorded there (0.3253 against 0.339-0.340 for every e5 stack). Reading: a head PRETRAINED ON RELEVANCE RANKING generalises to the closed test better than an embedding model fine-tuned into a cross-encoder. Both of max's CE lanes (ce-retrain, CE-large) sit inside the e5 family, so this is a cheap cross-family test with a large prior. Second finding from the same pair: the pure CE with NO GBDT stack beat the tuned e5 stack by +0.022 LB. UNTESTED: bge-reranker-large, and bge run through max's Stage-A curriculum"
o-len384,2026-08-18,oleg,ce-input,TRAIN the CE at max_len 384 (not merely run a 256-trained model at it) and ship it,LB-public,-0.0095,1,,ANCHOR,oleg/EXPERIMENTS.md E-61/E-62/E-64,"CLOSES THE VARIANT t109 LEFT OPEN. Scope: a CE trained end-to-end at max_len 384 with a widened attribute cap, shipped as v9. Local ruler +0.0046, LB -0.0095 (0.4272 -> 0.4177). The timing explanation was ruled out by a dedicated second submission rather than by argument: v9.1 re-shipped the SAME weights with an H100-adaptive batch and pipelined tokenisation and landed 0.41772 against v9's 0.41770 - bit-identical, so the cascade was not quietly truncating categories. So a longer training window is a real transferable LOSS on this data, not an inference-time mismatch, which agrees with t109's mechanism check from the training side. UNTESTED: 512 trained from scratch, which now looks even less attractive"
